date,cpi
2019-12-24,
2019-12-25,
2019-12-26,
2019-12-27,
2019-12-28,
2019-12-29,
2019-12-30,
2019-12-31,
2020-01-01,258.906
2020-01-02,258.906
2020-01-03,258.906
2020-01-04,258.906
2020-01-05,258.906
2020-01-06,258.906
2020-01-07,258.906
2020-01-08,258.906
2020-01-09,258.906
2020-01-10,258.906
2020-01-11,258.906
2020-01-12,258.906
2020-01-13,258.906
2020-01-14,258.906
2020-01-15,258.906
2020-01-16,258.906
2020-01-17,258.906
2020-01-18,258.906
2020-01-19,258.906
2020-01-20,258.906
2020-01-21,258.906
2020-01-22,258.906
2020-01-23,258.906
2020-01-24,258.906
2020-01-25,258.906
2020-01-26,258.906
2020-01-27,258.906
2020-01-28,258.906
2020-01-29,258.906
2020-01-30,258.906
2020-01-31,258.906
2020-02-01,259.246
2020-02-02,259.246
2020-02-03,259.246
2020-02-04,259.246
2020-02-05,259.246
2020-02-06,259.246
2020-02-07,259.246
2020-02-08,259.246
2020-02-09,259.246
2020-02-10,259.246
2020-02-11,259.246
2020-02-12,259.246
2020-02-13,259.246
2020-02-14,259.246
2020-02-15,259.246
2020-02-16,259.246
2020-02-17,259.246
2020-02-18,259.246
2020-02-19,259.246
2020-02-20,259.246
2020-02-21,259.246
2020-02-22,259.246
2020-02-23,259.246
2020-02-24,259.246
2020-02-25,259.246
2020-02-26,259.246
2020-02-27,259.246
2020-02-28,259.246
2020-02-29,259.246
2020-03-01,258.150
2020-03-02,258.150
2020-03-03,258.150
2020-03-04,258.150
2020-03-05,258.150
2020-03-06,258.150
2020-03-07,258.150
2020-03-08,258.150
2020-03-09,258.150
2020-03-10,258.150
2020-03-11,258.150
2020-03-12,258.150
2020-03-13,258.150
2020-03-14,258.150
2020-03-15,258.150
2020-03-16,258.150
2020-03-17,258.150
2020-03-18,258.150
2020-03-19,258.150
2020-03-20,258.150
2020-03-21,258.150
2020-03-22,258.150
2020-03-23,258.150
2020-03-24,258.150
2020-03-25,258.150
2020-03-26,258.150
2020-03-27,258.150
2020-03-28,258.150
2020-03-29,258.150
2020-03-30,258.150
2020-03-31,258.150
2020-04-01,256.126
2020-04-02,256.126
2020-04-03,256.126
2020-04-04,256.126
2020-04-05,256.126
2020-04-06,256.126
2020-04-07,256.126
2020-04-08,256.126
2020-04-09,256.126
2020-04-10,256.126
2020-04-11,256.126
2020-04-12,256.126
2020-04-13,256.126
2020-04-14,256.126
2020-04-15,256.126
2020-04-16,256.126
2020-04-17,256.126
2020-04-18,256.126
2020-04-19,256.126
2020-04-20,256.126
2020-04-21,256.126
2020-04-22,256.126
2020-04-23,256.126
2020-04-24,256.126
2020-04-25,256.126
2020-04-26,256.126
2020-04-27,256.126
2020-04-28,256.126
2020-04-29,256.126
2020-04-30,256.126
2020-05-01,255.848
2020-05-02,255.848
2020-05-03,255.848
2020-05-04,255.848
2020-05-05,255.848
2020-05-06,255.848
2020-05-07,255.848
2020-05-08,255.848
2020-05-09,255.848
2020-05-10,255.848
2020-05-11,255.848
2020-05-12,255.848
2020-05-13,255.848
2020-05-14,255.848
2020-05-15,255.848
2020-05-16,255.848
2020-05-17,255.848
2020-05-18,255.848
2020-05-19,255.848
2020-05-20,255.848
2020-05-21,255.848
2020-05-22,255.848
2020-05-23,255.848
2020-05-24,255.848
2020-05-25,255.848
2020-05-26,255.848
2020-05-27,255.848
2020-05-28,255.848
2020-05-29,255.848
2020-05-30,255.848
2020-05-31,255.848
2020-06-01,257.004
2020-06-02,257.004
2020-06-03,257.004
2020-06-04,257.004
2020-06-05,257.004
2020-06-06,257.004
2020-06-07,257.004
2020-06-08,257.004
2020-06-09,257.004
2020-06-10,257.004
2020-06-11,257.004
2020-06-12,257.004
2020-06-13,257.004
2020-06-14,257.004
2020-06-15,257.004
2020-06-16,257.004
2020-06-17,257.004
2020-06-18,257.004
2020-06-19,257.004
2020-06-20,257.004
2020-06-21,257.004
2020-06-22,257.004
2020-06-23,257.004
2020-06-24,257.004
2020-06-25,257.004
2020-06-26,257.004
2020-06-27,257.004
2020-06-28,257.004
2020-06-29,257.004
2020-06-30,257.004
2020-07-01,258.408
2020-07-02,258.408
2020-07-03,258.408
2020-07-04,258.408
2020-07-05,258.408
2020-07-06,258.408
2020-07-07,258.408
2020-07-08,258.408
