Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-10-31 06:00:00-04:00,,,
2024-08-01 06:00:00-04:00,,,
2024-05-02 06:00:00-04:00,,,
2024-01-31 16:00:00-05:00,1.9,,
2024-01-31 05:00:00-05:00,1.9,,
2023-11-02 12:00:00-04:00,1.39,1.46,0.0492
2023-08-03 12:00:00-04:00,1.19,1.26,0.054900000000000004
2023-05-04 12:00:00-04:00,1.43,1.52,0.060300000000000006
2023-02-02 11:00:00-05:00,1.94,1.88,-0.0288
2022-10-27 12:00:00-04:00,1.27,1.29,0.015500000000000002
2022-07-28 12:00:00-04:00,1.16,1.2,0.0325
2022-04-28 12:00:00-04:00,1.43,1.52,0.0644
2022-01-27 11:00:00-05:00,1.89,2.1,0.11170000000000001
2021-10-28 12:00:00-04:00,1.24,1.24,0.003
2021-07-27 12:00:00-04:00,1.01,1.3,0.2912
2021-04-28 12:00:00-04:00,0.99,1.4,0.4189
2021-01-27 11:00:00-05:00,1.41,1.68,0.1902
2020-10-29 12:00:00-04:00,0.7,0.73,0.0425
2020-07-30 12:00:00-04:00,0.51,0.65,0.2625
2020-04-30 12:00:00-04:00,0.57,0.64,0.1278
2020-01-28 11:00:00-05:00,1.14,1.25,0.09730000000000001
2019-10-30 12:00:00-04:00,0.71,0.76,0.0671
2019-07-30 12:00:00-04:00,0.52,0.55,0.039
2019-04-30 12:00:00-04:00,0.59,0.62,0.0418
2019-01-29 11:00:00-05:00,1.04,1.05,0.0031
2018-11-01 12:00:00-04:00,0.7,0.73,0.045599999999999995
2018-07-31 12:00:00-04:00,0.55,0.59,0.0727
2018-05-01 12:00:00-04:00,0.67,0.68,0.021400000000000002
2018-02-01 11:00:00-05:00,0.96,0.97,0.0087
2017-11-02 12:00:00-04:00,0.47,0.52,0.1085
2017-08-01 12:00:00-04:00,0.39,0.42,0.06269999999999999
2017-05-02 12:00:00-04:00,0.5,0.53,0.039700000000000006
2017-01-31 11:00:00-05:00,0.8,0.84,0.0455
2016-10-25 12:00:00-04:00,0.41,0.42,0.0084
2016-07-26 12:00:00-04:00,0.35,0.36,0.026000000000000002
2016-04-26 12:00:00-04:00,0.5,0.48,-0.0489
2016-01-26 11:00:00-05:00,0.81,0.82,0.0163
2015-10-27 12:00:00-04:00,0.47,0.49,0.0426
2015-07-21 12:00:00-04:00,0.45,0.46,0.0213
2015-04-27 12:00:00-04:00,0.54,0.58,0.0793
2015-01-27 11:00:00-05:00,0.65,0.77,0.1752
2014-10-20 12:00:00-04:00,0.33,0.36,0.08800000000000001
2014-07-22 00:00:00-04:00,0.31,0.32,0.0398
2014-04-23 00:00:00-04:00,0.36,0.42,0.1399
2014-01-27 00:00:00-05:00,0.5,0.52,0.0308
2013-10-28 00:00:00-04:00,0.28,0.3,0.0382
2013-07-23 00:00:00-04:00,0.26,0.27,0.020499999999999997
2013-04-23 00:00:00-04:00,0.36,0.36,0.0088
2013-01-23 00:00:00-05:00,0.48,0.49,0.0252
2012-10-25 00:00:00-04:00,0.31,0.31,-0.0092
2012-07-24 00:00:00-04:00,0.37,0.33,-0.1012
2012-04-24 00:00:00-04:00,0.36,0.44,0.2256
2012-01-24 00:00:00-05:00,0.36,0.5,0.36460000000000004
2011-10-18 00:00:00-04:00,0.26,0.25,-0.0454
2011-07-19 00:00:00-04:00,0.21,0.28,0.3358
2011-04-20 00:00:00-04:00,0.19,0.23,0.19090000000000001
2011-01-18 00:00:00-05:00,0.19,0.23,0.19030000000000002
