date,revenue,cost_of_goods_sold,gross_profit,r_and_d_expenses,sga_expenses,operating-expenses,operating-income,non_operating_income,pre-tax-income,income_taxes,income-after-taxes,operating_income,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps_basic,eps_diluted
2024-10-31,35082.00000,8926.00000,26156.00000,3390.00000,897.00000,4287.00000,21869.00000,447.00000,22316.00000,3007.00000,19309.00000,19309.00000,19309.00000,22347.00000,21869.00000,24533.00000,24774.00000,0.79000,0.78000
2024-07-31,30040.00000,7466.00000,22574.00000,3090.00000,842.00000,3932.00000,18642.00000,572.00000,19214.00000,2615.00000,16599.00000,16599.00000,16599.00000,19075.00000,18642.00000,24578.00000,24848.00000,0.68000,0.67000
2024-04-30,26044.00000,5638.00000,20406.00000,2720.00000,777.00000,3497.00000,16909.00000,370.00000,17279.00000,2398.00000,14881.00000,14881.00000,14881.00000,17319.00000,16909.00000,24620.00000,24890.00000,0.60400,0.59800
2024-01-31,22103.00000,5312.00000,16791.00000,2466.00000,710.00000,3176.00000,13615.00000,491.00000,14106.00000,1820.00000,12286.00000,12286.00000,12286.00000,14002.00000,13615.00000,24690.00000,24940.00000,0.50200,0.49100
2023-10-31,18120.00000,4720.00000,13400.00000,2294.00000,689.00000,2983.00000,10417.00000,105.00000,10522.00000,1279.00000,9243.00000,9243.00000,9243.00000,10789.00000,10417.00000,24680.00000,24940.00000,0.37000,0.37000
2023-07-31,13507.00000,4045.00000,9462.00000,2040.00000,622.00000,2662.00000,6800.00000,181.00000,6981.00000,793.00000,6188.00000,6188.00000,6188.00000,7165.00000,6800.00000,24729.00000,24994.00000,0.25000,0.25000
2023-04-30,7192.00000,2544.00000,4648.00000,1875.00000,633.00000,2508.00000,2140.00000,69.00000,2209.00000,166.00000,2043.00000,2043.00000,2043.00000,2524.00000,2140.00000,24700.00000,24900.00000,0.08300,0.08200
2023-01-31,6051.00000,2218.00000,3833.00000,1952.00000,625.00000,2577.00000,1256.00000,32.00000,1288.00000,-126.00000,1414.00000,1414.00000,1414.00000,1682.00000,1256.00000,24870.00000,25070.00000,0.05800,0.05700
2022-10-31,5931.00000,2754.00000,3177.00000,1945.00000,631.00000,2576.00000,601.00000,12.00000,613.00000,-67.00000,680.00000,680.00000,680.00000,1007.00000,601.00000,24830.00000,24990.00000,0.02700,0.02700
2022-07-31,6704.00000,3789.00000,2915.00000,1824.00000,592.00000,2416.00000,499.00000,-24.00000,475.00000,-181.00000,656.00000,656.00000,656.00000,877.00000,499.00000,24950.00000,25160.00000,0.02600,0.02600
2022-04-30,8288.00000,2857.00000,5431.00000,1618.00000,592.00000,3563.00000,1868.00000,-63.00000,1805.00000,187.00000,1618.00000,1618.00000,1618.00000,2202.00000,1868.00000,25060.00000,25370.00000,0.06500,0.06400
2022-01-31,7643.00000,2643.00000,5000.00000,1467.00000,563.00000,2030.00000,2970.00000,-105.00000,2865.00000,-137.00000,3002.00000,3002.00000,3002.00000,3279.00000,2970.00000,24960.00000,25350.00000,0.12000,0.11800
2021-10-31,7103.00000,2472.00000,4631.00000,1403.00000,557.00000,1960.00000,2671.00000,-33.00000,2638.00000,174.00000,2464.00000,2464.00000,2464.00000,2969.00000,2671.00000,24990.00000,25380.00000,0.09900,0.09700
2021-07-31,6507.00000,2292.00000,4215.00000,1245.00000,526.00000,1771.00000,2444.00000,-50.00000,2394.00000,20.00000,2374.00000,2374.00000,2374.00000,2730.00000,2444.00000,24930.00000,25320.00000,0.09500,0.09400
2021-04-30,5661.00000,2032.00000,3629.00000,1153.00000,520.00000,1673.00000,1956.00000,88.00000,2044.00000,132.00000,1912.00000,1912.00000,1912.00000,2237.00000,1956.00000,24840.00000,25280.00000,0.07700,0.07600
2021-01-31,5003.00000,1846.00000,3157.00000,1145.00000,505.00000,1650.00000,1507.00000,-36.00000,1471.00000,14.00000,1457.00000,1457.00000,1457.00000,1795.00000,1507.00000,24670.00000,25100.00000,0.05970,0.05830
2020-10-31,4726.00000,1766.00000,2960.00000,1047.00000,515.00000,1562.00000,1398.00000,-50.00000,1348.00000,12.00000,1336.00000,1336.00000,1336.00000,1697.00000,1398.00000,24720.00000,25200.00000,0.05400,0.05300
2020-07-31,3866.00000,1591.00000,2275.00000,997.00000,627.00000,1624.00000,651.00000,-42.00000,609.00000,-13.00000,622.00000,622.00000,622.00000,1055.00000,651.00000,24640.00000,25040.00000,0.02500,0.02500
2020-04-30,3080.00000,1076.00000,2004.00000,735.00000,293.00000,1028.00000,976.00000,5.00000,981.00000,64.00000,917.00000,917.00000,917.00000,1083.00000,976.00000,24560.00000,24880.00000,0.03730,0.03680
2020-01-31,3105.00000,1090.00000,2015.00000,739.00000,286.00000,1025.00000,990.00000,26.00000,1016.00000,65.00000,951.00000,951.00000,951.00000,1096.00000,990.00000,24390.00000,24720.00000,0.03920,0.03830
2019-10-31,3014.00000,1098.00000,1916.00000,712.00000,277.00000,989.00000,927.00000,32.00000,959.00000,60.00000,899.00000,899.00000,899.00000,1019.00000,927.00000,24400.00000,24720.00000,0.03680,0.03630
2019-07-31,2579.00000,1038.00000,1541.00000,704.00000,266.00000,970.00000,571.00000,35.00000,606.00000,54.00000,552.00000,552.00000,552.00000,663.00000,571.00000,24360.00000,24640.00000,0.02280,0.02250
2019-04-30,2220.00000,924.00000,1296.00000,674.00000,264.00000,938.00000,358.00000,31.00000,389.00000,-5.00000,394.00000,394.00000,394.00000,449.00000,358.00000,24280.00000,24640.00000,0.01630,0.01600
2019-01-31,2205.00000,998.00000,1207.00000,648.00000,265.00000,913.00000,294.00000,30.00000,324.00000,-242.00000,566.00000,566.00000,566.00000,372.00000,294.00000,24320.00000,25000.00000,0.02330,0.02300
2018-10-31,3181.00000,1260.00000,1921.00000,605.00000,258.00000,863.00000,1058.00000,23.00000,1081.00000,-149.00000,1230.00000,1230.00000,1230.00000,1126.00000,1058.00000,24360.00000,25000.00000,0.05050,0.04930
2018-07-31,3123.00000,1148.00000,1975.00000,581.00000,237.00000,818.00000,1157.00000,23.00000,1180.00000,79.00000,1101.00000,1101.00000,1101.00000,1216.00000,1157.00000,24280.00000,25040.00000,0.04530,0.04400
2018-04-30,3207.00000,1139.00000,2068.00000,542.00000,231.00000,773.00000,1295.00000,16.00000,1311.00000,67.00000,1244.00000,1244.00000,1244.00000,1352.00000,1295.00000,24240.00000,25080.00000,0.05130,0.04950
2018-01-31,2911.00000,1110.00000,1801.00000,508.00000,220.00000,728.00000,1073.00000,7.00000,1080.00000,-39.00000,1119.00000,1119.00000,1119.00000,1127.00000,1073.00000,23960.00000,25280.00000,0.04650,0.04450
2017-10-31,2636.00000,1067.00000,1569.00000,462.00000,212.00000,674.00000,895.00000,1.00000,896.00000,58.00000,838.00000,838.00000,838.00000,944.00000,895.00000,24120.00000,25120.00000,0.03480,0.03330
2017-07-31,2230.00000,928.00000,1302.00000,416.00000,198.00000,614.00000,688.00000,-4.00000,684.00000,101.00000,583.00000,583.00000,583.00000,737.00000,688.00000,23880.00000,25320.00000,0.02450,0.02300
2017-04-30,1937.00000,787.00000,1150.00000,411.00000,185.00000,596.00000,554.00000,-18.00000,536.00000,29.00000,507.00000,507.00000,507.00000,601.00000,554.00000,23680.00000,25640.00000,0.02150,0.01980
