date,revenue,cost_of_goods_sold,gross_profit,r_and_d_expenses,sga_expenses,operating-expenses,operating-income,non_operating_income,pre-tax-income,income_taxes,income-after-taxes,operating_income,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps_basic,eps_diluted
2009-01-31,481.1399,339.4741,141.6658,211.779,86.44,316.7491,-175.0833,4.708,-170.375,-22.71,-147.665,-147.665,-147.665,-127.0283,-175.0832,21925.04,21925.04,-0.0065,-0.006
2009-04-30,664.231,474.535,189.696,301.797,118.864,420.661,-230.965,6.144,-224.821,-23.483,-201.338,-201.338,-201.338,-180.307,-230.965,21692.28,21692.28,-0.0093,-0.0093
2009-07-31,776.52,619.797,156.723,192.855,73.975,266.83,-110.1069,3.006,-107.101,-1.799,-105.302,-105.302,-105.302,-60.7849,-110.1069,21865.56,21865.56,-0.0048,-0.0048
2009-10-31,903.206,511.423,391.783,197.948,85.99,283.938,107.845,2.362,110.207,2.63,107.577,107.577,107.577,156.615,107.845,22051.32,22975.24,0.005,0.0048
2010-01-31,982.488,543.767,438.721,216.251,88.188,304.4393,134.2817,5.139,139.421,8.345,131.076,131.076,131.076,182.1957,134.2819,21982.96,21982.96,0.006,0.0063
2010-04-30,1001.813,545.436,456.377,218.105,90.879,308.9839,147.3931,3.332,150.725,13.131,137.594,137.594,137.594,194.5401,147.3931,22687.32,23639.88,0.006,0.0058
2010-07-31,811.208,676.916,134.292,210.635,98.864,309.499,-175.207,6.16,-169.047,-28.086,-140.961,-140.961,-140.961,-128.634,-175.207,22910.56,22910.56,-0.0063,-0.0063
2010-10-31,843.912,451.85,392.062,204.527,83.752,288.279,103.783,-0.198,103.585,18.723,84.862,84.862,84.862,150.659,103.783,23092.92,23305.92,0.0038,0.0038
2011-01-31,886.376,460.017,426.3589,215.563,88.018,246.5811,179.7778,6.128,185.906,14.255,171.651,171.651,171.651,226.1708,179.7781,23007.08,23547.36,0.0075,0.0075
2011-04-30,962.039,477.536,484.503,231.524,98.117,329.641,154.862,1.623,156.485,21.266,135.219,135.219,135.219,202.626,154.862,23792.08,24538.96,0.0058,0.0055
2011-07-31,1016.517,491.233,525.2841,247.721,103.533,351.254,174.03,3.517,177.547,25.974,151.573,151.573,151.573,226.189,174.03,24053.6,24557.36,0.0063,0.0063
2011-10-31,1066.18,509.463,556.717,256.498,103.129,359.627,197.0901,7.697,204.787,26.514,178.273,178.273,178.273,249.4771,197.0901,24282.52,24542.4,0.0073,0.0073
2012-01-31,953.1939,463.1809,490.013,266.862,100.834,367.6961,122.317,2.26,124.577,8.552,116.025,116.025,116.025,174.212,122.3167,24145.84,24654.84,0.0048,0.0045
2012-04-30,924.877,461.513,463.364,283.902,106.636,390.538,72.826,4.269,77.095,16.658,60.437,60.437,60.437,127.317,72.826,24631.2,24951.44,0.0025,0.0025
2012-07-31,1044.27,503.551,540.719,281.193,119.903,401.096,139.623,5.585,145.208,26.162,119.046,119.046,119.046,195.818,139.623,24759.84,24925.72,0.0048,0.0048
2012-10-31,1204.11,567.452,636.658,284.18,100.261,384.441,252.217,1.411,253.628,44.548,209.08,209.08,209.08,309.365,252.217,24894.08,25153.8,0.0085,0.0083
2013-01-31,1106.902,521.2999,585.6025,298.007,104.022,402.029,183.5735,2.535,186.108,12.135,173.973,173.973,173.973,241.9745,183.5733,24772.96,24998.28,0.007,0.007
2013-04-30,954.739,436.171,518.568,327.161,108.626,435.787,82.781,5.281,88.062,10.171,77.891,77.891,77.891,142.525,82.781,24674.88,24772.08,0.0033,0.0033
2013-07-31,977.238,431.7,545.538,331.738,108.266,440.004,105.534,6.286,111.82,15.372,96.448,96.448,96.448,167.374,105.534,23413.8,23680.24,0.004,0.004
2013-10-31,1053.967,469.552,584.415,340.294,103.133,443.427,140.988,0.496,141.484,22.75,118.734,118.734,118.734,203.714,140.988,23234.8,23550.08,0.005,0.005
2014-01-31,1144.056,524.577,619.4789,336.807,115.975,452.782,166.6969,1.937,168.634,21.707,146.927,146.927,146.927,226.3869,166.697,23520.0,23800.0,0.0065,0.0063
2014-04-30,1103.0,499.0,604.0,334.0,119.0,453.0,151.0,12.0,163.0,26.0,137.0,137.0,137.0,213.0,151.0,22360.0,22800.0,0.006,0.006
2014-07-31,1103.0,484.0,619.0,337.0,119.0,456.0,163.0,-8.0,155.0,27.0,128.0,128.0,128.0,226.0,163.0,22320.0,22840.0,0.0058,0.0055
2014-10-31,1225.0,549.0,676.0,340.0,123.0,463.0,213.0,-4.0,209.0,36.0,173.0,173.0,173.0,275.0,213.0,21920.0,22320.0,0.008,0.0078
2015-01-31,1251.0,551.0,700.0,349.0,119.0,468.0,232.0,-4.0,228.0,35.0,193.0,193.0,193.0,293.0,232.0,22080.0,22520.0,0.0088,0.0088
