,Holder,Shares,Date Reported,% Out,Value,date
0,Vanguard Group Inc,2.14B,2024-09-30,0.0875,299980079618,2024-12-26
1,Blackrock Inc.,1.85B,2024-09-30,0.0756,259098116866,2024-12-26
2,"FMR, LLC",997.71M,2024-09-30,0.0407,139609742737,2024-12-26
3,State Street Corporation,945.74M,2024-09-30,0.038599999999999995,132337114911,2024-12-26
4,"Geode Capital Management, LLC",546.08M,2024-09-30,0.0223,76412899315,2024-12-26
5,JP Morgan Chase & Company,406.71M,2024-09-30,0.0166,56910744432,2024-12-26
6,Price (T.Rowe) Associates Inc,407.61M,2024-09-30,0.0166,57036531281,2024-12-26
7,Morgan Stanley,329.72M,2024-09-30,0.013500000000000002,46137754686,2024-12-26
8,Norges Bank Investment Management,291.73M,2024-06-30,0.011899999999999999,40821407348,2024-12-26
9,Bank of America Corporation,245.1M,2024-09-30,0.01,34296782294,2024-12-26
