,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate,type
0,NVDA241227C00050000,2024-12-26 17:55:23+00:00,50.0,90.0,89.85,90.1,-0.69000244,-0.7608363,28.0,316.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
1,NVDA241227C00055000,2024-12-23 19:50:12+00:00,55.0,84.2,84.8,85.15,0.0,0.0,14.0,36.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
2,NVDA241227C00060000,2024-12-26 15:32:15+00:00,60.0,78.75,79.8,80.1,3.8499985,5.140185,2.0,60.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
3,NVDA241227C00065000,2024-12-23 16:02:08+00:00,65.0,71.98,74.85,75.15,0.0,0.0,1.0,38.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
4,NVDA241227C00070000,2024-12-26 16:55:42+00:00,70.0,69.47,69.85,70.1,4.7700043,7.372495,54.0,94.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
5,NVDA241227C00075000,2024-12-26 16:27:22+00:00,75.0,64.17,64.8,65.15,-1.5,-2.284148,3.0,20.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
6,NVDA241227C00080000,2024-12-26 17:00:59+00:00,80.0,59.7,59.85,60.1,-0.8499985,-1.403796,15.0,173.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
7,NVDA241227C00085000,2024-12-24 17:43:16+00:00,85.0,55.12,54.8,55.1,0.0,0.0,27.0,315.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
8,NVDA241227C00090000,2024-12-26 17:47:18+00:00,90.0,49.7,49.85,50.2,-0.52000046,-1.035445,20.0,452.0,2.156254609375,True,REGULAR,USD,2024-12-27,call
9,NVDA241227C00095000,2024-12-26 17:17:37+00:00,95.0,45.31,44.9,45.05,0.31000137,0.68889195,20.0,391.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
