Date,^HSI
2019-08-01,25724.73046875
2019-09-01,26092.26953125
2019-10-01,26906.720703125
2019-11-01,26346.490234375
2019-12-01,28189.75
2020-01-01,26312.630859375
2020-02-01,26129.9296875
2020-03-01,23603.48046875
2020-04-01,24643.58984375
2020-05-01,22961.470703125
2020-06-01,24427.189453125
2020-07-01,24595.349609375
2020-08-01,25177.05078125
2020-09-01,23459.05078125
2020-10-01,24107.419921875
2020-11-01,26341.490234375
2020-12-01,27231.130859375
2021-01-01,28283.7109375
2021-02-01,28980.2109375
2021-03-01,28378.349609375
2021-04-01,28724.880859375
2021-05-01,29151.80078125
2021-06-01,28827.94921875
2021-07-01,25961.029296875
2021-08-01,25878.990234375
2021-09-01,24575.640625
2021-10-01,25377.240234375
2021-11-01,23475.259765625
2021-12-01,23397.669921875
2022-01-01,23802.259765625
2022-02-01,22713.01953125
2022-03-01,21996.849609375
2022-04-01,21089.390625
2022-05-01,21415.19921875
2022-06-01,21859.7890625
2022-07-01,20156.509765625
2022-08-01,19954.390625
2022-09-01,17222.830078125
2022-10-01,14687.01953125
2022-11-01,18597.23046875
2022-12-01,19781.41015625
2023-01-01,21842.330078125
2023-02-01,19785.939453125
2023-03-01,20400.109375
2023-04-01,19894.5703125
2023-05-01,18234.26953125
2023-06-01,18916.4296875
2023-07-01,20078.939453125
2023-08-01,18382.060546875
2023-09-01,17809.66015625
2023-10-01,17112.48046875
2023-11-01,17042.880859375
2023-12-01,17047.390625
2024-01-01,15485.0703125
2024-02-01,16511.439453125
2024-03-01,16541.419921875
2024-04-01,17763.029296875
2024-05-01,18079.609375
2024-06-01,17718.609375
2024-07-01,17524.060546875
