Date,^HSI
2014-06-16,23194.060546875
2014-06-23,23221.51953125
2014-06-30,23546.359375
2014-07-07,23233.44921875
2014-07-14,23454.7890625
2014-07-21,24216.009765625
2014-07-28,24532.4296875
2014-08-04,24331.41015625
2014-08-11,24954.939453125
2014-08-18,25112.23046875
2014-08-25,24742.060546875
2014-09-01,25240.150390625
2014-09-08,24595.3203125
2014-09-15,24306.16015625
2014-09-22,23678.41015625
2014-09-29,23064.560546875
2014-10-06,23088.5390625
2014-10-13,23023.2109375
2014-10-20,23302.19921875
2014-10-27,23998.060546875
2014-11-03,23550.240234375
2014-11-10,24087.380859375
2014-11-17,23437.119140625
2014-11-24,23987.44921875
2014-12-01,24002.640625
2014-12-08,23249.19921875
2014-12-15,23116.630859375
2014-12-22,23349.33984375
2014-12-29,23721.30078125
2015-01-05,23919.94921875
2015-01-12,24103.51953125
2015-01-19,24850.44921875
2015-01-26,24507.05078125
2015-02-02,24679.390625
2015-02-09,24682.5390625
2015-02-16,24832.080078125
2015-02-23,24823.2890625
2015-03-02,24164.0
2015-03-09,23823.2109375
2015-03-16,24375.240234375
2015-03-23,24486.19921875
2015-03-30,25275.640625
2015-04-06,27272.390625
2015-04-13,27653.119140625
2015-04-20,28060.98046875
2015-04-27,28133.0
2015-05-04,27577.33984375
2015-05-11,27822.279296875
2015-05-18,27992.830078125
2015-05-25,27424.189453125
2015-06-01,27260.16015625
2015-06-08,27280.5390625
2015-06-15,26760.529296875
2015-06-22,26663.869140625
2015-06-29,26064.109375
2015-07-06,24901.279296875
2015-07-13,25415.26953125
2015-07-20,25128.509765625
2015-07-27,24636.279296875
2015-08-03,24552.470703125
2015-08-10,23991.029296875
2015-08-17,22409.619140625
2015-08-24,21612.390625
2015-08-31,20840.609375
2015-09-07,21504.369140625
2015-09-14,21920.830078125
2015-09-21,21186.3203125
2015-09-28,21506.08984375
2015-10-05,22458.80078125
2015-10-12,23067.369140625
2015-10-19,23151.939453125
2015-10-26,22640.0390625
2015-11-02,22867.330078125
2015-11-09,22396.140625
2015-11-16,22754.720703125
2015-11-23,22068.3203125
2015-11-30,22235.890625
2015-12-07,21464.05078125
2015-12-14,21755.560546875
2015-12-21,22138.130859375
2015-12-28,21914.400390625
2016-01-04,20453.7109375
2016-01-11,19520.76953125
2016-01-18,19080.509765625
2016-01-25,19683.109375
2016-02-01,19288.169921875
2016-02-08,18319.580078125
2016-02-15,19285.5
2016-02-22,19364.150390625
2016-02-29,20176.69921875
2016-03-07,20199.599609375
2016-03-14,20671.630859375
2016-03-21,20345.609375
2016-03-28,20498.919921875
2016-04-04,20370.400390625
2016-04-11,21316.470703125
2016-04-18,21467.0390625
2016-04-25,21067.05078125
2016-05-02,20109.869140625
2016-05-09,19719.2890625
2016-05-16,19852.19921875
2016-05-23,20576.76953125
2016-05-30,20947.240234375
2016-06-06,21042.640625
2016-06-13,20169.98046875
2016-06-20,20259.130859375
2016-06-27,20794.369140625
2016-07-04,20564.169921875
2016-07-11,21659.25
2016-07-18,21964.26953125
2016-07-25,21891.369140625
2016-08-01,22146.08984375
2016-08-08,22766.91015625
2016-08-15,22937.220703125
2016-08-22,22909.5390625
2016-08-29,23266.69921875
2016-09-05,24099.69921875
2016-09-12,23335.58984375
2016-09-19,23686.48046875
2016-09-26,23297.150390625
2016-10-03,23851.8203125
2016-10-10,23233.310546875
2016-10-17,23374.400390625
2016-10-24,22954.810546875
2016-10-31,22642.619140625
2016-11-07,22531.08984375
2016-11-14,22344.2109375
2016-11-21,22723.44921875
2016-11-28,22564.8203125
2016-12-05,22760.98046875
2016-12-12,22020.75
2016-12-19,21574.759765625
2016-12-26,22000.560546875
2017-01-02,22503.009765625
2017-01-09,22937.380859375
